,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Player_Name,POS,TEAM,Off_Days,TEAM_ID
68,22021,1630173,0022100099,2021-11-01,TOR @ NYK,W,17,1,9,0.111,0,1,0.0,0,0,0.0,2,7,9,1,1,0,2,1,2,-11,1,Precious Achiuwa,Forward,TOR,2,1610612761
69,22021,1630173,0022100112,2021-11-03,TOR @ WAS,W,26,2,9,0.222,0,0,0.0,2,2,1.0,3,7,10,4,0,1,2,3,6,-1,1,Precious Achiuwa,Forward,TOR,2,1610612761
70,22021,1630173,0022100127,2021-11-05,TOR vs. CLE,L,18,2,3,0.667,0,1,0.0,1,2,0.5,2,6,8,0,0,0,1,3,5,5,1,Precious Achiuwa,Forward,TOR,2,1610612761
71,22021,1630173,0022100139,2021-11-07,TOR vs. BKN,L,27,6,11,0.545,1,2,0.5,0,2,0.0,1,7,8,0,1,1,0,2,13,-13,1,Precious Achiuwa,Forward,TOR,2,1610612761
72,22021,1630173,0022100160,2021-11-10,TOR @ BOS,L,25,1,4,0.25,0,0,0.0,1,2,0.5,2,7,9,3,1,3,1,4,3,-8,1,Precious Achiuwa,Forward,TOR,3,1610612761
73,22021,1630173,0022100171,2021-11-11,TOR @ PHI,W,30,1,10,0.1,0,2,0.0,2,2,1.0,3,6,9,2,2,3,1,1,4,9,1,Precious Achiuwa,Forward,TOR,1,1610612761
74,22021,1630173,0022100238,2021-11-19,TOR @ SAC,W,25,3,5,0.6,0,0,0.0,0,0,0.0,1,4,5,2,0,0,1,1,6,0,1,Precious Achiuwa,Forward,TOR,8,1610612761
75,22021,1630173,0022100252,2021-11-21,TOR @ GSW,L,26,5,9,0.556,1,1,1.0,1,1,1.0,3,5,8,3,0,0,0,1,12,4,1,Precious Achiuwa,Forward,TOR,2,1610612761
76,22021,1630173,0022100272,2021-11-24,TOR @ MEM,W,28,7,11,0.636,3,3,1.0,0,0,0.0,2,2,4,2,1,0,0,5,17,28,1,Precious Achiuwa,Forward,TOR,3,1610612761
77,22021,1630173,0022100284,2021-11-26,TOR @ IND,L,33,4,7,0.571,0,1,0.0,1,2,0.5,2,5,7,2,0,0,1,2,9,-16,1,Precious Achiuwa,Forward,TOR,2,1610612761
78,22021,1630173,0022100302,2021-11-28,TOR vs. BOS,L,36,3,11,0.273,0,3,0.0,0,0,0.0,3,6,9,1,0,0,2,3,6,-11,1,Precious Achiuwa,Forward,TOR,2,1610612761
79,22021,1630173,0022100315,2021-11-30,TOR vs. MEM,L,29,1,8,0.125,0,1,0.0,3,4,0.75,2,3,5,0,0,0,1,6,5,-2,1,Precious Achiuwa,Forward,TOR,2,1610612761
80,22021,1630173,0022100329,2021-12-02,TOR vs. MIL,W,35,3,8,0.375,0,0,0.0,0,2,0.0,5,3,8,2,1,2,1,3,6,7,1,Precious Achiuwa,Forward,TOR,2,1610612761
81,22021,1630173,0022100351,2021-12-05,TOR vs. WAS,W,31,5,10,0.5,0,1,0.0,0,0,0.0,4,10,14,2,1,0,2,2,10,-3,1,Precious Achiuwa,Forward,TOR,3,1610612761
82,22021,1630173,0022100443,2021-12-18,TOR vs. GSW,W,23,8,12,0.667,1,2,0.5,0,1,0.0,0,5,5,0,1,0,2,1,17,4,1,Precious Achiuwa,Forward,TOR,13,1610612761
83,22021,1630173,0022100534,2021-12-31,TOR vs. LAC,W,9,1,3,0.333,0,1,0.0,2,2,1.0,2,1,3,0,0,0,0,0,4,-12,1,Precious Achiuwa,Forward,TOR,13,1610612761
84,22021,1630173,0022100545,2022-01-02,TOR vs. NYK,W,18,1,5,0.2,0,0,0.0,0,0,0.0,3,2,5,3,0,1,3,1,2,4,1,Precious Achiuwa,Forward,TOR,2,1610612761
85,22021,1630173,0022100563,2022-01-04,TOR vs. SAS,W,19,2,4,0.5,0,1,0.0,6,9,0.667,2,2,4,1,1,1,2,1,10,15,1,Precious Achiuwa,Forward,TOR,2,1610612761
86,22021,1630173,0022100573,2022-01-05,TOR @ MIL,W,16,2,6,0.333,1,1,1.0,1,2,0.5,4,4,8,3,1,0,0,1,6,3,1,Precious Achiuwa,Forward,TOR,1,1610612761
87,22021,1630173,0022100584,2022-01-07,TOR vs. UTA,W,18,4,7,0.571,0,1,0.0,1,2,0.5,2,3,5,0,1,1,0,2,9,0,1,Precious Achiuwa,Forward,TOR,2,1610612761
